fold,task,model,mae,rmse,r2,poisson_deviance,mase_vs_train_mean,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
1,count,gradient_boosting_absolute,2.867636288334618,3.8664975212704995,-0.2221881004649624,2.048885543481869,1.0853936118462881,,,,,,,,,,
1,count,hist_gradient_boosting_poisson,2.9874403483733674,4.19163256192447,-0.4363788101727313,2.604952876110949,1.1307391676855278,,,,,,,,,,
1,count,poisson_regressor,2.6625167320557046,3.602135195733676,-0.060773340288873934,1.6838450280903896,1.007756340705751,,,,,,,,,,
1,count,tweedie_regressor,2.655614349808679,3.5942469773222245,-0.056132509595011815,1.676624872214504,1.005143805208164,,,,,,,,,,
1,count,negative_binomial,2.6396017206084563,3.565121948902956,-0.03908567767636728,1.644232302314784,0.9990830625981316,,,,,,,,,,
1,classification,rf_raw,,,,,,0.3756378165354352,0.25430049380657266,0.70674858902178,0.1252263917410945,0.4979757085020243,0.3945578231292517,0.6236559139784946,0.48333333333333334,0.5951417004048583,0.5086580086580087
1,classification,rf_sigmoid,,,,,,0.3756378165354352,0.2520540576153473,0.7050683019700495,0.13435583987421285,0.6234817813765182,0.0,0.0,0.0,0.0,0.5086580086580087
1,classification,rf_isotonic,,,,,,0.38329061493303224,0.25385644035194055,1.247827201506202,0.14135956614651057,0.5748987854251012,0.39655172413793105,0.24731182795698925,0.304635761589404,0.23481781376518218,0.5090420332355816
1,classification,negative_binomial_derived_risk,,,,,,0.43005521950133674,0.23749917066887113,0.6693466878114993,0.09650474820310133,0.5344129554655871,0.43452380952380953,0.7849462365591398,0.5593869731800766,0.680161943319838,0.5865102639296187
2,count,gradient_boosting_absolute,2.7143269647961485,3.354526139690907,-0.33697804931866493,2.02754382184702,0.9373943315218232,,,,,,,,,,
2,count,hist_gradient_boosting_poisson,2.945378583366706,3.661326452099686,-0.5927177598824456,2.3118972687803487,1.0171881368909008,,,,,,,,,,
2,count,poisson_regressor,3.07062527824345,3.7002765091962786,-0.6267854278200125,2.3865927325555,1.0604421528373993,,,,,,,,,,
2,count,tweedie_regressor,3.037007207306054,3.6547547155565825,-0.5870053340321051,2.3495182364849736,1.0488321332848063,,,,,,,,,,
2,count,negative_binomial,3.0791728175521427,3.735919232733328,-0.6582762218476215,2.4050173759584417,1.0633940503060337,,,,,,,,,,
2,classification,rf_raw,,,,,,0.2163871597095049,0.19074388370314055,0.569064761238048,0.2681168602333522,0.2874493927125506,0.1414141414141414,0.8235294117647058,0.2413793103448276,0.8016194331983806,0.6252416459541562
2,classification,rf_sigmoid,,,,,,0.2163871597095049,0.1543727754716032,0.49493186454934945,0.2040550835028745,0.13765182186234817,0.13765182186234817,1.0,0.24199288256227758,1.0,0.6252416459541562
2,classification,rf_isotonic,,,,,,0.21258375653882694,0.1541311227727673,0.4939291534458102,0.19561442373145463,0.2834008097165992,0.1407035175879397,0.8235294117647058,0.24034334763948498,0.805668016194332,0.636150234741784
2,classification,negative_binomial_derived_risk,,,,,,0.16826891308478067,0.187971147342419,0.5570696587076744,0.22939407606682627,0.4574898785425101,0.17532467532467533,0.7941176470588235,0.2872340425531915,0.6234817813765182,0.6006628003314002
3,count,gradient_boosting_absolute,2.4357189783291524,3.3828208361529564,0.12757878579015125,1.7710601547046385,0.8852220242099018,,,,,,,,,,
3,count,hist_gradient_boosting_poisson,2.4603259126002817,3.4724328615070337,0.08074513121161064,1.8991757794225432,0.8941650099807938,,,,,,,,,,
3,count,poisson_regressor,2.676454435279739,3.483417344012904,0.07492010282499473,1.957175441676396,0.9727133688177592,,,,,,,,,,
3,count,tweedie_regressor,2.6716321751514434,3.495564974723279,0.06845683872080699,1.9615891944441852,0.9709607976426703,,,,,,,,,,
3,count,negative_binomial,2.7149041280109616,3.4987824995029766,0.0667411546150134,1.971491073700963,0.9866872776030534,,,,,,,,,,
3,classification,rf_raw,,,,,,0.36358004227390367,0.16546369140081538,0.5132657256221759,0.11778641527417273,0.5344129554655871,0.2556390977443609,0.68,0.37158469945355194,0.5384615384615384,0.6338071065989846
3,classification,rf_sigmoid,,,,,,0.36358004227390367,0.16158207242389094,0.5042754104055426,0.10002600625278232,0.7975708502024291,0.0,0.0,0.0,0.0,0.6338071065989846
3,classification,rf_isotonic,,,,,,0.3006259072666724,0.15870309076816072,0.49320894105027496,0.18178733182682955,0.7935222672064778,0.0,0.0,0.0,0.004048582995951417,0.6173604060913704
